Chord,Label
Bm A E F#m Bm7,2
C#m C#m F#m7 C#m7,2
D#m7 C#sus4 D#m G#m7,2
D#m7 C#sus4 D#m G#m7,2
F#m Bm G F Dm Fm C,2
G Cm Fm7 Eb,2
C E F#m Bm7 Gmaj7 D A,2
G Cm Fm7 Eb,2
D#m7 C#sus4 D#m G#m7,2
F#m D A G Cm,2
C#m F#m7 C#m7,2
A E D A G,2
Am G C Dm C E F#m D,2
F#m Bm Bm Bm Em Bm,2
A C Dm Am Dm C,2
G Em F Dm Fm,2
Am G F#,2
G F Dm Fm C D A,2
F#m Bm7 Gmaj7 D A E D,2
Am Fm C E F#m,2
G Cm Fm7 Eb,2
C#m C#m F#m7 C#m7,2
Am Fm C E F#m Bm A E,2
F#m Bm Em Bm G F#,2
Am G F#,2
Em Bm A E F#m Bm7,2
Am Fm C D A G A,2
Am Fm C D A C,2
A E D A E D A,2
C E D A G F#,2
C Dm Am Dm Fm C,2
G F#,2
Bm Em F Dm Fm C Dm,2
Bm G F Dm Am Dm C Dm,2
F#m Bm Bm Bm G,2
D#m7 C#sus4 D#m G#m7,2
A E D A E,2
Am Dm C Dm Fm C D,2
F#m D A G A E F#m Bm,2
Bm A E F#m Bm7 Gmaj7 D,2
G A C E F#m,2
F#m D A G F Dm Am Dm,2
G A E D A C E D,2
Em Bm Bm Bm G F#,2
Am Fm C E F#m Bm A,2
C#m C#m C#m F#m7 C#m7,2
A E D A E D A E,2
Bm Em F Dm Am Fm,2
A C Dm Fm C Dm,2
F#m D A C E D A,2
Bm G Cm Fm7 Eb,2
D#m7 C#sus4 D#m G#m7,2
Am G A E D A,2
G Em F Dm Fm C D A,2
D#m7 C#sus4 D#m G#m7,2
A G C Dm Am Fm,2
C#m C#m F#m7 C#m7,2
Em Bm Em F Dm Am Dm,2
C E F#m D A C,2
Am G F#,2
G A E D A E F#m D,2
F#m Bm Em F Dm Am,2
Bm Bm Bm Bm Em F,2
A E D A E D,2
Bm G C Dm Am Fm C,2
A C Dm Fm C Dm C D,2
C#m F#m7 C#m7,2
Bm Bm A E D A G,2
F#m D A G C D A,2
Em F Dm Fm C E,2
G Cm Fm7 Eb,2
Em F Dm Fm C Dm C Dm,2
Em Bm Bm G F Dm,2
Am G Cm Fm7 Eb,2
G F Dm Am G F#,2
G Cm Fm7 Eb,2
G Cm Fm7 Eb,2
Em Bm Em Bm Em F Dm Fm,2
D#m7 C#sus4 D#m G#m7,2
Em Bm Bm G Em Bm G,2
C#m F#m7 C#m7,2
Am G C Dm Am Fm,2
F#m D A C E,2
F#m Bm Bm Bm A E D A,2
C#m C#m F#m7 C#m7,2
C D A E D A,2
G C D A C D A,2
Am G Cm Fm7 Eb,2
A E F#m D A G A G,2
Am G A E F#m Bm G,2
G F Dm C D,2
G F#,2
Bm G C D A E F#m Bm,2
Em F Dm Am Fm C,2
F#m D A E F#m Bm Bm A,2
G C D A G F#,2
Am G F Dm Fm C Dm C,2
Em Bm Em F Dm C D,2
G Bb C Eb Bb,3
G Bb Gm C Eb Bb Cm Bb,3
Am7 Em7 G F Gsus4,3
Bb Cm Bb Cm Bb C,3
G Bb C Eb Bb Cm Bb Gm,3
A E Bsus2 B E B,3
E Bsus2 B C#m A E C,3
E Bsus2 B C#m A,3
E B E C E C Eb,3
E B E B C#m,3
G F Gsus4 C E Bsus2,3
E C Eb Bb Gm,3
E B C#m A E,3
A E Bsus2 B C#m,3
Am7 Em7 G Bb Gm C E B,3
Eb Bb Gm C E B,3
G Bb Gm C G F,3
Eb Bb C Eb Bb,3
G Bb C E C Eb,3
E C G F Gsus4 C G,3
G Bb Cm Bb Cm Bb C,3
G F Gsus4 C G,3
Eb Bb Gm C E,3
Am7 Em7 G F Gsus4 C,3
A E B C#m A E B E,3
Bb C G F Gsus4 C E C,3
Bb Cm Bb Cm Bb C,3
Eb Bb Gm C E B,3
Bb Gm C Eb Bb Gm C,3
Eb Bb Cm Bb C Eb,3
G F Gsus4 C E C E,3
A E B E Bsus2 B,3
E Bsus2 B C#m A E,3
G F Gsus4 C E,3
Am7 Em7 G Bb Cm Bb Cm,3
E B E C E Bsus2 B C#m,3
Eb Bb C G Bb,3
E Bsus2 B C#m A E Bsus2,3
A E B C#m A,3
G F Gsus4 C Eb Bb C,3
E C G F Gsus4 C Eb Bb,3
G F Gsus4 C Eb Bb Cm,3
Bb Gm C G F,3
G F Gsus4 C Eb Bb Cm Bb,3
Am7 Em7 G F Gsus4 C E C,3
Bb C Eb Bb Gm C Eb,3
Eb Bb Cm Bb Gm C E,3
Eb Bb C E Bsus2,3
E C G Bb Gm C E Bsus2,3
E B E Bsus2 B C#m,3
E C Eb Bb Gm C,3
Bb C Eb Bb C Eb Bb,3
Eb Bb Gm C G,3
Am7 Em7 G F Gsus4 C,3
Eb Bb Cm Bb C E,3
G F Gsus4 C E B E B,3
G F Gsus4 C Eb Bb Gm C,3
E C E Bsus2 B C#m,3
Bb Gm C E Bsus2 B,3
G Bb C G Bb C Eb,3
E C E C Eb Bb,3
E B C#m A E B C#m,3
G F Gsus4 C G Bb Cm Bb,3
A E Bsus2 B E C,3
Bb C E B C#m A,3
A E B E Bsus2 B,3
G F Gsus4 C E B C#m,3
A E Bsus2 B C#m A E C,3
E Bsus2 B C#m A E B,3
G F Gsus4 C Eb Bb Gm,3
Bb Gm C E C G F,3
Eb Bb C E C Eb,3
Am7 Em7 G Bb Cm Bb Gm,3
A E Bsus2 B C#m A E B,3
Bb Gm C G Bb Cm,3
Eb Bb Gm C G Bb,3
Am7 Em7 G F Gsus4 C E Bsus2,3
Eb Bb Gm C G Bb,3
G Bb Cm Bb Cm Bb C,3
Bb Gm C E B E B E,3
G F Gsus4 C G F,3
Bb C Eb Bb C E Bsus2,3
A E C G Bb,3
E Bsus2 B C#m A E,3
Bb Gm C E C,3
G Bb Cm Bb C G Bb Cm,3
G Bb Gm C G,3
E C E Bsus2 B E,3
E Bsus2 B E Bsus2 B E,3
E Bsus2 B E Bsus2 B C#m,3
Bb C Eb Bb C E C G,3
E B E C G F Gsus4,3
E B C#m A E,3
Am7 Em7 G Bb Gm C,3
Eb Bb Cm Bb C Eb Bb Cm,3
Am7 Em7 G Bb C E,3
Bb Gm C Eb Bb C E Bsus2,3
E B C#m A E B C#m A,3
Am7 Em7 G Bb C G Bb Cm,3
Bb Gm C E Bsus2 B C#m,3
C# G# D# G# D#,4
Dm7 G7 Cmaj7 B,4
Bm7 E7 A7,4
G D A Bm E7 G,4
Eb Bbm Bbm Ab Eb Ab Eb Bbm,4
Eb Bbm Fm7,4
C# G# D# G# D# G# D#,4
G A Cmaj7 B,4
C# G# D# G# D# G# D#,4
Dm7 G7 Cmaj7 Fmaj7,4
Dm7 G7 Cmaj7 Fmaj7,4
C G Am F F,4
Dm7 G7 Cmaj7 Fmaj7,4
Gb Ab7 Gbmaj7 Ab Bbm,4
G D A Bm G A Cmaj7 B,4
Eb Ab Eb Bbm Ab Eb,4
C Bb F Gm C7,4
Gb Ab7 Gbmaj7 Ab Eb,4
Bm G Am F Gm C7,4
Eb Ab Bbm Fm7,4
Dmaj7 A D A Cmaj7 Fmaj7,4
Gb Ab7 Gbmaj7 Ab Eb,4
Fm Db Ab Bbm Fm7,4
Gb Ab7 Gbmaj7 Ab Eb Bbm,4
Fm Db Ab Eb Ab Eb Bbm Bbm,4
C Bb F C Bb F F F,4
Bm E7 A7,4
Gb Ab7 Gbmaj7 Ab Eb Bbm,4
Gb Ab7 Gbmaj7 Ab Eb Ab Eb,4
G A Bm E7 A7,4
Bm G D A F#m Amaj7,4
C G F#m Amaj7,4
C Bb F C Bb F,4
C G A Bm G,4
C G A F#m Amaj7,4
Eb Bbm Fm7,4
Dmaj7 A F#m Amaj7,4
Gb Ab7 Gbmaj7 Ab Bbm Fm7,4
C G Am F Gm,4
Eb Ab Eb Ab Bbm Ab Bbm,4
Bm E7 A7,4
Bm7 E7 G A F#m Amaj7,4
Bm G F#m Amaj7,4
C# G# D# G# D# G# D# G#,4
C G A D A D A Bm,4
G F#m Amaj7,4
Dm7 G7 Cmaj7 B,4
Bm E7 A7,4
Eb Bbm Bbm Bbm Ab Eb Bbm Ab,4
Bm G A F#m Amaj7,4
Bm G F#m Amaj7,4
Eb Bbm Ab Bbm Ab Eb Ab,4
Bm G D A Bm,4
Bm G A Bm G D,4
Eb Ab Eb Bbm Bbm Fm7,4
Bm E7 G Am F F F Gm,4
Bm G A D A D A F#m,4
C G F#m Amaj7,4
C Bb F Gm C7,4
Dmaj7 A D A F#m Amaj7,4
D A F#m Amaj7,4
Gb Ab7 Gbmaj7 Ab Bbm Ab Bbm,4
C Bb F Gm C7,4
C G A F#m Amaj7,4
Bm G D A F#m Amaj7,4
C G A F#m Amaj7,4
F F Gm C7,4
Bm E7 A7,4
Bm7 E7 G D A Cmaj7 Fmaj7,4
C Bb F Gm C7,4
C G D A Bm E7 G,4
G A Bm E7 G D,4
F F F Gm C7,4
Eb Bbm Fm7,4
Dmaj7 A F#m Amaj7,4
Dm7 G7 Cmaj7 B,4
Gb Ab7 Gbmaj7 Ab Bbm Fm7,4
Dmaj7 A Cmaj7 Fmaj7,4
Dm7 G7 Cmaj7 Fmaj7,4
F C G A D A F#m Amaj7,4
Eb Ab Bbm Bbm Fm7,4
D A D A D A Bm,4
Gb Ab7 Gbmaj7 Ab Eb,4
Eb Bbm Fm7,4
Eb Bbm Bbm Ab Bbm,4
C G D A D A F#m Amaj7,4
Gb Ab7 Gbmaj7 Ab Bbm,4
F F Gm C7,4
Eb Ab Eb Ab Eb Bbm Fm7,4
C# G# D# G# D# G# D#,4
Eb Ab Eb Ab Bbm Fm7,4
Fm Db Ab Bbm Fm7,4
D A F#m Amaj7,4
Bm G F#m Amaj7,4
C Bb F Gm C7,4
Gb Ab7 Gbmaj7 Ab Eb Ab,4
Gb Ab7 Gbmaj7 Ab Eb Ab Bbm Fm7,4
C G A Bm G F#m Amaj7,4
D A D A F#m Amaj7,4
Gb Ab7 Gbmaj7 Ab Eb Bbm Bbm,4
