Chord,Label
Bm G F Dm C D,2
Em F Dm Am Dm C,2
Em F Dm C E,2
F#m Bm7 Gmaj7 D A E F#m D,2
C Dm Fm C D A E F#m,2
C Dm Am Dm Fm C,2
F#m D A E D,2
C D A E D A G F,2
A E D A E F#m Bm7,2
C D A G C E F#m D,2
G C Dm Am G F#,2
F#m Bm7 Gmaj7 D A,2
Am Dm C Dm C Dm,2
A E D A E F#m Bm Em,2
G Cm Fm7 Eb,2
C E D A G C Dm,2
Am G F Dm Fm C Dm C,2
G F Dm C E D,2
C#m F#m7 C#m7,2
Em Bm Em F Dm C E,2
D#m7 C#sus4 D#m G#m7,2
Em F Dm Am G Cm,2
G Cm Fm7 Eb,2
C#m F#m7 C#m7,2
F#m Bm7 Gmaj7 D A,2
G F#,2
D#m7 C#sus4 D#m G#m7,2
Bm A E F#m Bm A,2
F#m Bm7 Gmaj7 D A E,2
G C Dm Am Dm Am Dm,2
C E F#m Bm A C,2
C E D A G Em,2
A G Em Bm Bm,2
D#m7 C#sus4 D#m G#m7,2
F#m Bm7 Gmaj7 D A C D,2
G F Dm Fm C E F#m Bm,2
C Dm Fm C Dm C E,2
A E D A G C E F#m,2
Bm Em Bm Em Bm Em F,2
C#m C#m F#m7 C#m7,2
D#m7 C#sus4 D#m G#m7,2
A C Dm Am Dm Am Dm C,2
D#m7 C#sus4 D#m G#m7,2
F#m Bm Em F Dm Fm,2
C E D A E F#m,2
G Em Bm A G A,2
Am Fm C D A,2
Am Dm Am Dm Am Dm Fm C,2
Em Bm A E D A E F#m,2
G Cm Fm7 Eb,2
G Cm Fm7 Eb,2
C#m C#m C#m C#m F#m7 C#m7,2
Em Bm Em Bm Bm A C,2
C D A E D A,2
Em F Dm Am G F#,2
Am Dm Fm C E D A,2
C#m F#m7 C#m7,2
Bm Bm Bm G Em Bm G Em,2
Am Dm C E F#m,2
C Dm Fm C Dm C,2
G Cm Fm7 Eb,2
E B E C Eb Bb Cm,3
G F Gsus4 C Eb Bb,3
Eb Bb Gm C Eb,3
G Bb Cm Bb C E Bsus2,3
A E B E C Eb Bb,3
A E Bsus2 B C#m,3
E B C#m A E,3
A E Bsus2 B E,3
E Bsus2 B C#m A E Bsus2,3
Eb Bb Cm Bb Gm C,3
E B C#m A E B E,3
G F Gsus4 C Eb Bb Cm,3
G Bb C E C E,3
E B C#m A E Bsus2,3
G Bb C G Bb C Eb,3
Eb Bb C Eb Bb C,3
Bb C G F Gsus4 C E,3
E C G Bb C,3
Bb C Eb Bb Cm Bb Cm,3
A E B C#m A E,3
A E C E B E Bsus2,3
G Bb Cm Bb C G Bb Cm,3
A E C G Bb,3
E C E B C#m A E C,3
E B E Bsus2 B C#m,3
E Bsus2 B C#m A,3
E C E Bsus2 B E,3
E B C#m A E,3
Eb Bb Cm Bb Gm C E,3
E C Eb Bb C,3
E B E C Eb Bb,3
E Bsus2 B C#m A E B C#m,3
Am7 Em7 G Bb Gm C E B,3
G F Gsus4 C G Bb Cm Bb,3
G Bb Gm C Eb Bb Cm Bb,3
A E Bsus2 B C#m A E,3
A E B C#m A,3
Bb Cm Bb C G F Gsus4 C,3
E Bsus2 B C#m A E B E,3
G F Gsus4 C E Bsus2,3
E Bsus2 B E B E,3
E Bsus2 B C#m A,3
Eb Bb C G Bb Cm Bb Cm,3
G F Gsus4 C G F Gsus4 C,3
Bb Cm Bb Cm Bb C,3
G Bb Cm Bb Gm,3
G F Gsus4 C G F Gsus4 C,3
Am7 Em7 G Bb Cm Bb Cm,3
G F Gsus4 C Eb Bb Cm Bb,3
Am7 Em7 G Bb Cm Bb Gm C,3
E Bsus2 B E C,3
Bb C Eb Bb C E,3
E Bsus2 B E Bsus2 B C#m A,3
E C G Bb Gm,3
Am7 Em7 G Bb Cm Bb C,3
A E B E C Eb Bb Gm,3
E B E B C#m A,3
G Bb Cm Bb Gm C Eb Bb,3
Bb C G F Gsus4 C Eb,3
Eb Bb C Eb Bb,3
E C G F Gsus4 C,3
E B C#m A E C Eb Bb,3
A E B E C E C G,3
Am7 Em7 G Bb Cm,3
E B C#m A E,3
Bb Cm Bb Gm C Eb Bb Gm,3
Eb Bb C G Bb Cm,3
G F Gsus4 C G F,3
Am7 Em7 G F Gsus4 C E,3
G F Gsus4 C Eb Bb,3
A E Bsus2 B C#m A,3
A E C E Bsus2,3
A E C E C G F,3
Am7 Em7 G F Gsus4 C Eb,3
A E Bsus2 B E C Eb Bb,3
Bb Gm C Eb Bb Cm Bb,3
E B E B C#m A E Bsus2,3
G F Gsus4 C G F Gsus4,3
Am7 Em7 G Bb Gm C,3
G Bb Gm C E C Eb,3
Am7 Em7 G F Gsus4 C G F,3
E B C#m A E,3
A E Bsus2 B C#m A,3
E Bsus2 B E C Eb,3
A E C G Bb C,3
E Bsus2 B E C,3
G Bb Cm Bb Cm Bb Cm Bb,3
G Bb Cm Bb Cm Bb Gm C,3
Am7 Em7 G F Gsus4,3
A E Bsus2 B C#m,3
E B C#m A E Bsus2 B,3
Eb Bb C E B E B,3
Am7 Em7 G Bb C Eb,3
G Bb C Eb Bb Cm,3
Eb Bb C G Bb Gm C,3
E C E B C#m A,3
G Bb Gm C Eb Bb Gm C,3
Eb Bb C G Bb,3
A E C Eb Bb Cm,3
Eb Bb Cm Bb Cm Bb C G,3
Eb Ab Eb Bbm Fm7,4
Bm7 E7 G F#m Amaj7,4
C Bb F C Bb,4
Bm7 E7 A7,4
Bm G Am F C G Am,4
C G A D A,4
D A Cmaj7 B,4
C# G# D# G# D#,4
Bm7 E7 G Am F C G,4
Gb Ab7 Gbmaj7 Ab Eb Ab,4
C# G# D# G# D# G# D#,4
Gb Ab7 Gbmaj7 Ab Eb Bbm Fm7,4
C Bb F F F F,4
Eb Ab Eb Bbm Fm7,4
F C G A D A D,4
C G F#m Amaj7,4
C# G# D# G# D# G# D#,4
Eb Ab Eb Ab Bbm,4
Dmaj7 A Cmaj7 B,4
C Bb F F C G,4
Eb Bbm Bbm Bbm Bbm Bbm Ab,4
D A D A D A F#m Amaj7,4
Gb Ab7 Gbmaj7 Ab Eb,4
Gb Ab7 Gbmaj7 Ab Bbm Bbm Bbm Bbm,4
Bm G A Cmaj7 Fmaj7,4
Fm Db Ab Eb Ab,4
Bm G F#m Amaj7,4
Bm E7 G A F#m,4
Fm Db Ab Eb Bbm Bbm Bbm,4
C G Am F C,4
G D A Cmaj7 B,4
Eb Bbm Bbm Fm7,4
Bm G Am F Gm C7,4
Bm G A Cmaj7 B,4
Bm G D A Bm E7 A7,4
Dm7 G7 Cmaj7 Fmaj7,4
C G D A D,4
Dmaj7 A D A D A Cmaj7 B,4
C Bb F Gm C7,4
Bm7 E7 G Am F C,4
Bm7 E7 A7,4
Dm7 G7 Cmaj7 Fmaj7,4
Dm7 G7 Cmaj7 Fmaj7,4
C G D A Cmaj7 B,4
F F Gm C7,4
D A Cmaj7 B,4
C G A F#m Amaj7,4
C Bb F F F F C,4
Dm7 G7 Cmaj7 Fmaj7,4
Eb Ab Bbm Fm7,4
C Bb F C G,4
Gb Ab7 Gbmaj7 Ab Bbm Ab,4
Dmaj7 A Bm G Am F C G,4
C G F#m Amaj7,4
Eb Bbm Bbm Ab Eb Bbm Bbm,4
C Bb F F C Bb F Gm,4
C Bb F Gm C7,4
F Gm C7,4
G A Bm G F#m Amaj7,4
Gb Ab7 Gbmaj7 Ab Bbm,4
Fm Db Ab Bbm Fm7,4
C G F#m Amaj7,4
C Bb F Gm C7,4
Fm Db Ab Eb Ab,4
D A F#m Amaj7,4
G A F#m Amaj7,4
Bm G A Cmaj7 B,4
C Bb F C G A,4
Dm7 G7 Cmaj7 B,4
Fm Db Ab Bbm Ab Bbm,4
Dm7 G7 Cmaj7 Fmaj7,4
C# G# D# G# D#,4
Bm G D A F#m Amaj7,4
Bm G A Bm G Am F,4
Eb Bbm Ab Bbm Ab Eb Ab Bbm,4
Bm G A D A F#m Amaj7,4
C G F#m Amaj7,4
D A Cmaj7 B,4
Bm G F#m Amaj7,4
Dm7 G7 Cmaj7 Fmaj7,4
Dmaj7 A D A Cmaj7 B,4
G A F#m Amaj7,4
Bm7 E7 A7,4
Gb Ab7 Gbmaj7 Ab Bbm Fm7,4
C G F#m Amaj7,4
F F F C G,4
C# G# D# G# D# G# D# G#,4
C# G# D# G# D# G# D# G#,4
Dm7 G7 Cmaj7 B,4
C G Am F F,4
Dm7 G7 Cmaj7 B,4
Dmaj7 A D A Bm G F#m,4
F Gm C7,4
C G F#m Amaj7,4
Dm7 G7 Cmaj7 Fmaj7,4
Dmaj7 A F#m Amaj7,4
C Bb F Gm C7,4
G A F#m Amaj7,4
C G A Cmaj7 B,4
Bm7 E7 G F#m Amaj7,4
